event_time,user_id,ip,country,region,city,user_agent,browser_name,browser_version,os_name,os_version,screen_res,device_type,request_per_min_from_ip,is_vpn,is_proxy,label_is_same_device
1762473213,u1,152.109.9.8,ID,Jawa Barat,Bandung,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0 Safari/537.36",Chrome,120.0,Windows,10,2532x1170,Desktop,11,0,0,1
1762279755,u5,108.57.115.151,ID,DKI Jakarta,Jakarta,"Mozilla/5.0 (Macintosh; Intel Mac OS X 13_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Safari,16.1,MacOS,13.2,1920x1080,Tablet,18,0,0,0
1762294089,u4,25.92.217.89,ID,Jawa Barat,Bandung,"Mozilla/5.0 (Macintosh; Intel Mac OS X 13_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Safari,16.1,MacOS,13.2,2400x1080,Mobile,9,0,0,1
1762369830,u5,227.221.93.148,ID,Jawa Barat,Bandung,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Mobile/15E148 Safari/604.1",Safari,17.1,iOS,17.1,1920x1080,Mobile,13,1,0,0
1762183297,u4,163.214.94.42,ID,Jawa Barat,Bandung,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0 Safari/537.36",Chrome,120.0,Windows,10,1366x768,Mobile,19,0,0,1
1762314757,u5,163.44.137.187,SG,Central,Singapore,"Mozilla/5.0 (Macintosh; Intel Mac OS X 13_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Safari,16.1,MacOS,13.2,2532x1170,Tablet,9,0,0,0
1762240683,u1,59.211.9.207,ID,DKI Jakarta,Jakarta,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Mobile/15E148 Safari/604.1",Safari,17.1,iOS,17.1,2400x1080,Mobile,17,0,0,1
1762090318,u3,55.168.128.102,US,CA,San Francisco,"Mozilla/5.0 (Linux; Android 13; SM-S918B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0 Mobile Safari/537.36",Chrome,121.0,Android,13,1920x1080,Desktop,9,0,0,1
1762037182,u5,103.93.57.36,ID,DKI Jakarta,Jakarta,"Mozilla/5.0 (Linux; Android 13; SM-S918B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0 Mobile Safari/537.36",Chrome,121.0,Android,13,1366x768,Desktop,9,0,0,1
1762080674,u4,153.17.99.98,US,CA,San Francisco,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0 Safari/537.36",Chrome,120.0,Windows,10,1920x1080,Desktop,3,0,0,1
1762295276,u3,112.41.117.1,SG,Central,Singapore,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0 Safari/537.36",Chrome,120.0,Windows,10,1920x1080,Tablet,16,0,0,0
1762015343,u3,196.42.139.245,ID,DKI Jakarta,Jakarta,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0 Safari/537.36",Chrome,120.0,Windows,10,2532x1170,Tablet,4,0,0,0
1762488877,u2,15.62.225.146,ID,Jawa Barat,Bandung,"Mozilla/5.0 (Linux; Android 13; SM-S918B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0 Mobile Safari/537.36",Chrome,121.0,Android,13,2400x1080,Desktop,13,0,0,1
1762018153,u4,243.141.43.68,ID,Jawa Barat,Bandung,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Mobile/15E148 Safari/604.1",Safari,17.1,iOS,17.1,1920x1080,Tablet,13,0,0,0
1762504323,u5,116.31.64.58,US,CA,San Francisco,"Mozilla/5.0 (Macintosh; Intel Mac OS X 13_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Safari,16.1,MacOS,13.2,1366x768,Tablet,3,0,0,0
1762224980,u1,59.18.232.9,SG,Central,Singapore,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0 Safari/537.36",Chrome,120.0,Windows,10,1366x768,Tablet,25,0,1,0
1762144626,u5,122.63.201.122,ID,Jawa Barat,Bandung,"Mozilla/5.0 (Macintosh; Intel Mac OS X 13_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Safari,16.1,MacOS,13.2,2532x1170,Tablet,3,0,0,0
1762468261,u4,222.187.14.173,ID,DKI Jakarta,Jakarta,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0 Safari/537.36",Chrome,120.0,Windows,10,1920x1080,Tablet,10,0,0,0
